feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,target_0,target_1,target_2,target_3,target_4,target_5,target_6,target_7,target_8,target_9,target_10,target_11,target_12,target_13
0.004168,-0.170975,-0.156748,-0.142151,0.05878099999999999,0.026851,0.197719,0.04185,0.066938,-0.056616999999999994,-0.02723,-0.13741099999999998,0.067776,0.047175,0.155671,0.050766000000000006,0.102557,-0.020259,-0.200512,-0.095371,-0.08194,-0.103735,0.093299,0.105475,0.14856,0.085925,0.107879,0.108075,0.085388,0.124026,-0.00365,-0.127376,0.039394,-0.018364,0.050378,0.15719,0.20356300000000002,0.111552,0.017907,-0.001126,0.053062,0.140708,0.13711800000000002,-0.090282,-0.06780900000000001,-0.102396,-0.051758000000000005,0.050664999999999995,0.007055,0.021674000000000002,0.061283000000000004,0.083523,0.053235000000000005,0.001978,0.077418,0.046762,-0.07572999999999999,-0.092787,0.127297,-0.178029,-0.202705,-0.028543000000000002,0.032891000000000004,0.023188999999999998,0.009715999999999999,-0.169848,-0.002261,-0.133029,0.08237799999999999,-0.21661,0.062425,-0.128243,0.203676,0.14364200000000002,0.178602,0.19204100000000002,0.154135,-0.175325,-0.13363599999999998,0.005524,-0.014981,-0.031945999999999995,-0.015113999999999999,-0.047175,0.003829,0.010967,-0.006062,-0.02756,-0.019865999999999998,-0.024046,-0.025153000000000002,-0.009261,-0.025539,0.006166,-0.012976,-0.014259,-0.015024000000000001,-0.010747,0.000411,-0.032056,-0.018312000000000002,0.030126,0.124722,0,0,0,0,0,0,1,1,0,0,0,1,1,0
-0.10395599999999999,0.011879,-0.098986,-0.054501,-0.00797,0.049113,-0.03058,-0.077933,-0.08052899999999999,-0.016267,-0.215304,-0.009885,-0.155843,-0.059522000000000005,-0.09883600000000001,-0.071141,-0.023494,-0.0712,0.027767,0.003091,-0.003761,0.0746,0.053079999999999995,-0.008138,0.001794,-0.111704,-0.140291,-0.063347,0.06676699999999999,-0.167073,-0.095567,-0.047209,0.082206,0.14444500000000002,0.08658099999999999,-0.11185,-0.08656,0.024942,-0.13153900000000002,0.080062,0.345095,-0.090835,-0.072651,0.045933999999999996,0.016653,-0.09112,0.024707,-0.058299000000000004,0.02721,0.004696,0.013844,0.043541,0.044008,0.03648,0.039348,-0.046261000000000004,0.025664,0.016511,0.043802999999999995,0.019015999999999998,-0.018508,-0.042825,-0.12701700000000002,0.383213,0.027688,0.179844,-0.019806999999999998,0.031726,-0.08645499999999999,0.15776600000000002,-0.016577,0.028002999999999997,-0.042753,-0.083054,-0.035512,-0.008779,-0.050616,-0.0012490000000000001,-0.020209,-0.077359,-0.045139,-0.074738,0.051846,0.009323,0.184332,0.42042399999999996,-0.090224,-0.090718,-0.035266000000000006,-0.046729,0.000575,-0.066023,-0.051916,0.007679999999999999,0.027719,-0.085811,0.111123,0.050541,0.027565,-0.063569,-0.041471,-0.07975800000000001,0.017161000000000003,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0.509949,0.40170900000000004,0.293799,0.087714,0.011686,-0.006411,-0.006255,0.013646,-0.040666,-0.024447,-0.040576,0.014325999999999998,-0.07496799999999999,0.14136500000000002,-0.015182,0.013691,0.006893000000000001,0.0037359999999999997,-0.020725999999999998,-0.044104000000000004,-0.052959000000000006,-0.08557200000000001,-0.061547000000000004,-0.029577999999999997,0.0277,-0.09431,-0.047721,-0.081589,-0.022846,-0.10668399999999999,-0.068873,-0.105225,-0.065414,-0.047722,-0.07072300000000001,-0.057425,-0.042024,-0.034122,-0.049606,0.015137000000000001,-0.091978,-0.057454,0.039602,0.028388,-0.068859,-0.027863,-0.061797000000000005,-0.059999000000000004,-0.033393,0.017728,0.097745,0.039449,0.041347,-0.083136,0.052164,0.00081,0.018361000000000002,0.03783,-0.029845,-0.031345,0.026966000000000004,0.051128,-0.015953,-0.002294,-0.046697,-0.0005,0.034184,-0.033345,-0.00707,-0.002837,0.001422,0.005147,-0.138257,-0.096135,-0.055102,0.0008300000000000001,-0.047025,-0.002432,0.0017109999999999998,-0.08357200000000001,-0.096943,0.148457,-0.0074129999999999995,0.130691,-0.032325,0.028612000000000002,-0.023051,-0.092214,-0.10333599999999998,0.138232,-0.100351,0.140423,0.110074,0.096277,-0.044932,-0.08947000000000001,-0.009162,-0.01201,0.30837800000000004,-0.028052999999999998,0.02671,-0.066565,-0.122352,0,1,1,0,0,0,0,0,0,0,0,1,1,0
0.119092,0.004412,-0.002262,0.072254,0.044512,-0.051467,0.074686,-0.007670000000000001,0.079438,0.062184,-0.013027,0.045538,0.080412,-0.010042,0.013028999999999999,-0.071975,0.089818,-0.016128999999999998,0.033105,0.024275,0.040428,0.064248,0.225613,0.176576,0.015501,0.009491,-0.013684,-0.017633000000000003,0.085007,-0.056274,-0.088925,-0.062951,0.22715100000000002,0.165897,0.150224,0.065105,0.110891,0.048451,0.114726,0.020393,0.025997000000000003,0.060515,0.072422,-0.128881,0.039636000000000005,-0.016252000000000003,0.058923,-0.049495,-0.09122100000000001,0.016999,-0.05561900000000001,-0.043654000000000005,-0.083105,-0.045545999999999996,-0.09986,-0.078093,-0.192852,-0.089999,-0.024671000000000002,-0.126046,0.052497,-0.092266,-0.090488,0.041994,0.021031,0.06922400000000001,-0.098074,-0.09843400000000001,0.014228,0.11466900000000001,0.164518,0.101039,0.060494000000000006,-0.020581,-0.101576,-0.045215,-0.087017,-0.11180599999999999,-0.15473199999999998,0.302807,0.340027,-0.093332,-0.057848000000000004,-0.010558,-0.039194,-0.041628,-0.077455,-0.008553,-0.022404,-0.10613099999999999,-0.103067,-0.08305900000000001,-0.089064,-0.08380900000000001,0.200354,-0.07571599999999999,0.196605,0.152758,-0.028484,-0.07420700000000001,-0.089227,-0.049913,-0.043893,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0.042037,0.007054,-0.069483,0.081015,-0.048207,0.089446,-0.004947,0.064456,-0.13338699999999998,0.068878,-0.139371,0.041487,-0.05853099999999999,0.021263999999999998,-0.101382,0.021015,0.096572,-0.005136,0.111104,-0.008323,0.02021,-0.003967,0.039762,0.006744,-0.04173,-0.174533,-0.10134299999999999,-0.115674,0.328511,-0.108945,-0.160748,-0.12029000000000001,-0.148308,-0.08288200000000001,-0.127218,-0.167186,-0.14321,-0.118028,-0.297516,-0.160082,0.046987,-0.023794,-0.12333599999999999,-0.07119199999999999,-0.161773,-0.159971,-0.118573,-0.094708,0.021561,0.018012,0.067262,0.078209,0.040831,-0.047518,0.052238,0.015478,0.065499,0.083426,0.155718,0.066596,0.106298,0.092366,0.069543,0.161903,-0.14193599999999998,0.0347,-0.078012,0.032215,0.089776,0.11796199999999998,0.169422,0.11534200000000001,-0.089155,-0.07267799999999999,-0.015655000000000002,0.069825,0.039744,0.10838800000000001,0.095516,0.015941999999999998,0.087354,0.17691099999999998,-0.062311,0.11720499999999999,-0.048277,-0.053679,0.01485,-0.066453,-0.067962,-0.08365299999999999,-0.08113,-0.061469,0.023662,-0.06046699999999999,0.044351,-0.057209,0.028047000000000002,0.029661,-0.050026,0.023247999999999998,-0.061538999999999996,-0.035160000000000004,0.067834,0,0,1,1,1,1,0,0,0,0,0,0,0,0
0.003286,-0.023601,-0.023104,-0.064171,-0.017719,-0.11350999999999999,-0.035212,-0.077675,-0.024347999999999998,-0.012458,0.013203,-0.033329000000000004,0.047343,0.031110000000000002,0.066102,-0.021335,0.089228,-0.013806,0.030922,0.021081,0.08605,-0.0076879999999999995,-0.003909,0.023979,-0.011401,0.037614,0.122546,0.07408200000000001,0.04591,0.12443599999999999,0.124325,0.132139,-0.061852,-0.174536,-0.184804,-0.08282,0.006520999999999999,-0.003643,-0.014628,-0.026702999999999998,-0.032888,0.024425,0.054528,-0.101401,0.014606000000000001,0.026646,0.037999,-0.019444,-0.013074,-0.064601,-0.081504,-0.071366,-0.035875,0.10198,-0.09156,0.017506,-0.025028,-0.048594,-0.017611,0.059662,-0.006562999999999999,-0.007014,0.028527999999999998,-0.082346,0.30938000000000004,0.271756,0.324673,0.267579,-0.093078,-0.146587,-0.124777,-0.231879,0.003766,0.007123999999999999,0.052473,0.074151,0.074014,0.026688999999999997,0.028306,-0.022753,-0.029017,0.001257,-0.16276500000000002,0.095942,0.170988,0.183442,-0.050506999999999996,-0.018859,-0.136377,0.116337,0.111394,-0.180056,-0.036899,-0.20002,-0.05205599999999999,0.012218000000000001,-0.038346,-0.046463,0.114204,0.125139,-0.0126,0.10583499999999998,-0.00144,0,0,0,0,0,0,0,0,0,1,1,1,1,0
0.076606,-0.025478,0.07241900000000001,-0.06538300000000001,0.12353900000000001,0.12013,0.102248,0.008324,0.09414700000000001,-0.014666,0.159352,-0.005371,0.071226,0.110422,0.17914000000000002,0.062189999999999995,0.109197,-0.141429,-0.179729,-0.035018,-0.013449000000000001,0.009843000000000001,0.096399,0.020458,0.055086,0.004566,-0.056574,0.015194,-0.038159,-0.047149,-0.053226,-0.012198,0.045641,0.049025,0.07406900000000001,0.06395,0.079691,0.026329,0.009623,0.17336,-0.051999000000000004,-0.0014449999999999999,0.038185000000000004,-0.18100000000000002,-0.050994,-0.116329,-0.08579400000000001,-0.003214,-0.010565,0.10944300000000001,0.073003,0.037110000000000004,0.025515,-0.153793,-0.015796,0.020212,-0.018386000000000003,0.08240900000000001,0.058880999999999996,-0.028625,-0.188271,-0.12193599999999999,0.072489,-0.049569999999999996,0.16955499999999998,-0.08576399999999999,0.052756,-0.043802999999999995,0.12025999999999999,-0.012549,-0.106745,-0.034501,0.087775,0.093431,0.09007799999999999,-0.031355,0.011193999999999999,-0.209306,-0.180997,0.015614,0.015714,-0.123243,-0.09367400000000001,0.19881600000000002,-0.100384,-0.106521,0.131097,0.183801,0.243689,0.21030700000000002,0.197175,-0.106965,0.0466,-0.109926,0.0033020000000000002,0.024075,0.039718,0.030025,-0.098264,-0.10496300000000001,-0.11444800000000001,-0.094395,-0.148318,1,0,0,0,0,0,0,0,0,0,0,1,1,0
-0.106801,-0.06927699999999999,-0.13225399999999998,-0.099246,-0.188413,-0.11035899999999998,-0.15512,-0.168094,-0.182473,0.023208000000000003,-0.130712,-0.079053,-0.171518,-0.064736,-0.153275,-0.070655,0.021343,-0.070272,0.060064,0.067662,0.022577,0.010968,-0.005391,-0.075087,-0.07625599999999999,-0.02016,-0.07247,-0.017721999999999998,0.016697,-0.054512,-0.003925,0.047992,0.132655,0.119805,0.059088,-0.026662,0.007289,0.017478,0.037295999999999996,0.028245999999999997,0.022647999999999998,0.020322999999999997,-0.030251999999999998,0.057420000000000006,0.030436,-0.05191900000000001,-0.027397,-0.000518,-0.003431,0.049033999999999994,0.166177,0.176017,0.243175,-0.10858699999999999,0.257996,0.21219899999999997,-0.004107,-0.018269999999999998,-0.16166,-0.037524,-0.07147200000000001,-0.025932,0.001865,-0.052414999999999996,-0.07602,0.027548000000000003,0.050457,0.031239999999999997,0.102424,-0.048468000000000004,-0.08521799999999999,-0.025516999999999998,0.004446,0.001622,0.026163,-0.174188,-0.060941999999999996,0.038232999999999996,0.000925,-0.076198,-0.021789,0.16700399999999999,0.10903199999999999,0.074937,0.018825,-0.15193299999999998,-0.155029,-0.089821,-0.026713,0.16453399999999999,0.172943,0.02273,0.015293000000000001,0.18521400000000002,-0.08422400000000001,-0.12384300000000001,0.005166,0.149781,0.09954,-0.14524600000000001,-0.030507,-0.160804,-0.045926999999999996,1,0,1,1,0,0,0,0,0,0,0,1,1,0
0.17765,0.136159,0.15321099999999999,0.19031199999999998,0.15854100000000002,0.219521,0.079914,0.232238,0.127932,0.089142,0.214214,0.186596,0.080546,0.21480900000000003,0.157049,0.220334,0.10314100000000001,0.143783,0.050731,-0.042281,0.017755,-0.022191,-0.035914,-0.052767999999999995,-0.029176,-0.08655299999999999,-0.04573,-0.08051,-0.090395,-0.06749400000000001,-0.051173,-0.013736000000000002,0.037043,-0.015615,-0.016112,-0.000904,-0.017557,0.034323,0.041121,0.00506,0.004845,0.034218,0.00503,0.093303,0.108699,0.094873,0.113329,-0.03907,-0.040719,-0.048583,-0.060474,-0.043247,-0.059577,-0.024152,-0.047300999999999996,-0.015707,-0.070061,-0.033093,-0.098816,-0.024762,-0.100993,-0.041568,-0.064112,-0.078269,-0.11334000000000001,-0.031019,-0.354263,0.004667,-0.10476500000000001,-0.286221,-0.067996,-0.047794,-0.000373,-0.037373,-0.004913,-0.009994,-0.11588699999999999,0.014361,0.027029,-0.00948,-0.027829000000000003,-0.0428,-0.03046,-0.056851,-0.013668000000000001,-0.012081,-0.019658000000000002,-0.03622,-0.021501,-0.043937000000000004,-0.043592,-0.025531,-0.023776,-0.017603,-0.026542000000000003,0.074257,-0.023072,0.003242,0.2522,-0.029461,-0.02624,0.006895999999999999,0.078088,1,1,0,0,0,0,0,0,0,0,0,1,1,0
0.122075,-0.055827999999999996,-0.034775,-0.039235,0.075027,0.08730800000000001,0.088062,0.122385,0.091848,-0.09913200000000001,0.041763,-0.024225,0.11892799999999999,0.057955999999999994,0.027388,0.16373900000000002,-0.015432,-0.008595,-0.086907,-0.093769,-0.07878500000000001,0.09601900000000001,0.100252,0.008856000000000001,-0.045860000000000005,-0.087768,-0.106773,-0.053326,-0.058797,-0.19628800000000002,-0.10446199999999999,-0.150524,0.186878,0.09644,0.13788,0.165071,0.101762,0.05706,-0.022019,-0.025563,0.128242,0.176067,-0.296871,-0.000183,0.040811,-0.039195,0.019562,-0.0020559999999999997,0.060674,0.153336,0.069484,0.021987,-0.048801,-0.166048,-0.07444400000000001,-0.10608900000000002,-0.045318000000000004,0.09676599999999999,0.022171,-0.139521,0.025829,-0.074287,0.004542,0.06771,-0.049911000000000004,-0.053006,-0.146744,-0.048638,-0.101439,0.131881,-0.041595,0.073726,0.095581,0.072837,-0.031376999999999995,-0.13814,-0.074792,-0.003966,-0.153042,-0.06189,-0.066663,0.018969999999999997,0.181895,-0.12411199999999999,0.21739899999999998,0.050713,-0.068185,-0.095511,0.025485,0.14737,0.11748399999999999,-0.030876999999999998,-0.036756,-0.102717,0.161406,-0.08955199999999999,0.077943,-0.093588,-0.016763999999999998,-0.069944,-0.105056,-0.08081,0.031019,0,0,1,1,0,0,0,0,0,0,0,1,1,0
